Date,Expiry,Strike,Type,Symbol,Open,High,Low,Close,Volume,OI,Change in OI,Underlying Value
26-Feb-2026,30-Mar-2026,6650.0,PE,APOLLOHOSP,0,0,0,116.9,0,375,0,7775.0
26-Feb-2026,30-Mar-2026,6600.0,PE,APOLLOHOSP,0,0,0,10.65,0,3000,0,7775.0
26-Feb-2026,30-Mar-2026,225.0,CE,ASHOKLEY,2.55,2.69,2.25,2.56,1535000,1330000,-125000,211.92
26-Feb-2026,30-Mar-2026,235.0,CE,ASHOKLEY,1.15,1.15,0.91,1.06,1990000,3240000,130000,211.92
26-Feb-2026,30-Mar-2026,227.5,CE,ASHOKLEY,2.14,2.15,1.79,2.05,175000,355000,45000,211.92
26-Feb-2026,30-Mar-2026,230.0,CE,ASHOKLEY,1.65,1.75,1.41,1.65,2530000,4780000,-345000,211.92
26-Feb-2026,30-Mar-2026,182.5,PE,ASHOKLEY,0,0,0,0.9,0,115000,0,211.92
26-Feb-2026,30-Mar-2026,185.0,PE,ASHOKLEY,1.3,1.3,0.59,0.6,590000,1070000,-75000,211.92
26-Feb-2026,30-Mar-2026,200.0,PE,ASHOKLEY,2.88,2.88,2.42,2.48,1430000,3020000,220000,211.92
26-Feb-2026,30-Mar-2026,177.5,PE,ASHOKLEY,0,0,0,0.81,0,40000,0,211.92
26-Feb-2026,30-Mar-2026,150.0,PE,ASHOKLEY,0.06,0.07,0.06,0.07,20000,440000,20000,211.92
26-Feb-2026,30-Mar-2026,165.0,PE,ASHOKLEY,0.14,0.17,0.11,0.17,50000,220000,-10000,211.92
26-Feb-2026,30-Mar-2026,192.5,PE,ASHOKLEY,1.39,1.4,1.18,1.21,255000,450000,40000,211.92
26-Feb-2026,30-Mar-2026,180.0,PE,ASHOKLEY,0.46,0.47,0.39,0.39,405000,1250000,70000,211.92
26-Feb-2026,30-Mar-2026,172.5,PE,ASHOKLEY,0,0,0,0.52,0,10000,0,211.92
26-Feb-2026,30-Mar-2026,197.5,PE,ASHOKLEY,2.07,2.27,1.91,1.96,185000,260000,15000,211.92
26-Feb-2026,30-Mar-2026,195.0,PE,ASHOKLEY,1.65,1.78,1.5,1.53,280000,1290000,30000,211.92
26-Feb-2026,30-Mar-2026,187.5,PE,ASHOKLEY,0.88,0.9,0.75,0.76,115000,145000,-40000,211.92
26-Feb-2026,30-Mar-2026,190.0,PE,ASHOKLEY,1.07,1.12,0.93,0.96,990000,2040000,40000,211.92
26-Feb-2026,30-Mar-2026,175.0,PE,ASHOKLEY,0.31,0.32,0.27,0.27,355000,520000,-40000,211.92
26-Feb-2026,30-Mar-2026,160.0,PE,ASHOKLEY,0,0,0,0.19,0,55000,0,211.92
26-Feb-2026,30-Mar-2026,170.0,PE,ASHOKLEY,0.22,0.22,0.18,0.18,650000,975000,125000,211.92
26-Feb-2026,30-Mar-2026,1780.0,CE,ASTRAL,10,11.15,7.25,8.65,26775,50575,5525,1684.2
